REF_CTR,STATUT_CTR,REF_CTR_PAPIER_CTR,SERVICE_CTR,TYP_CTR,DAT_SIGN_CTR,DAT_DEB_CTR,DAT_RESIL_CTR,DAT_PROCH_VERS_CTR,CA_CTR,CA_EXP_CTR,CA_IMP_CTR,LIM_FIN_CTR,DEVISE_CTR,NB_ACH_PREVU_CTR,NB_FACT_PREVU_CTR,NB_AVOIRS_PREVU_CTR,NB_REMISES_PREVU_CTR,DELAI_MOYEN_REG_CTR,DELAI_MAX_REG_CTR,FACT_REG_CTR,DERN_MONT_DISP_2,MIN_COMM_FACT
107,V    ,004/2019,,0    ,2019-03-04,2019-03-04,2019-03-04,2019-03-04,600000.0,0.0,600000.0,200000.0,TND,10,20,10,10,20,120.0,True,0.0,
108,V    ,006/2019,,0    ,2019-03-12,2019-03-12,2019-03-12,2019-03-12,300000.0,0.0,300000.0,0.0,TND,20,100,10,50,0,120.0,True,0.0,
109,V    ,010/2019,,0    ,2019-03-29,2019-03-29,2019-03-29,2019-03-29,500000.0,0.0,500000.0,150000.0,TND,10,10,0,10,120,120.0,True,9351.615,
112,V    ,0112019,,0    ,2019-04-16,2019-04-16,2019-04-16,2019-04-16,1000000.0,0.0,1000000.0,250000.0,TND,10,20,10,20,90,90.0,True,0.0,
113,V    ,0122019,,0    ,2019-04-17,2019-04-17,2019-04-17,2019-04-17,500000.0,0.0,500000.0,150000.0,TND,10,30,10,30,120,120.0,True,0.0,
114,V    ,007/2019,,0    ,2019-04-17,2019-04-17,2019-04-17,2019-04-17,500000.0,0.0,500000.0,150000.0,TND,10,20,0,20,120,120.0,True,0.0,
115,V    ,R0119,,0    ,2019-04-17,2019-04-17,2019-04-17,2019-04-17,1000000.0,0.0,1000000.0,500000.0,TND,10,30,0,300,0,1200.0,True,0.0,
116,V    ,0082019,,0    ,2019-04-18,2019-04-18,2019-04-18,2019-04-18,500000.0,0.0,500000.0,150000.0,TND,30,30,0,0,120,120.0,True,0.0,
118,V    ,R0022019,,0    ,2019-05-29,2019-05-29,2019-05-29,2019-05-29,1000000.0,0.0,1000000.0,500000.0,TND,10,50,0,50,120,120.0,True,,
119,V    ,R0022019,,0    ,2019-05-29,2019-05-29,2019-05-29,2019-05-29,1000000.0,0.0,1000000.0,500000.0,TND,10,50,0,50,120,120.0,True,0.0,
120,V    ,13/2019,,0    ,2019-08-08,2019-08-08,2019-08-08,2019-08-08,360000.0,0.0,360000.0,90000.0,TND,10,50,10,50,120,120.0,True,0.0,
121,V    ,14/2019,,0    ,2019-08-14,2019-08-14,2019-08-14,2019-08-14,400000.0,0.0,400000.0,100000.0,TND,10,50,10,100,90,120.0,True,0.0,
122,V    ,015/2019,,0    ,2019-08-30,2019-08-30,2019-08-30,2019-08-30,400000.0,0.0,400000.0,200000.0,TND,5,30,0,30,120,120.0,True,0.0,
123,V    ,16/2019,,0    ,2019-10-21,2019-10-21,2019-10-21,2019-10-21,540000.0,0.0,540000.0,135000.0,TND,5,1500,100,60,60,60.0,True,0.0,
125,V    ,17/2019,,1    ,2019-12-10,2019-12-10,,2020-12-09,4500000.0,0.0,4500000.0,1500000.0,TND,50,200,0,50,120,120.0,,,39375.0
126,V    ,01/2020,,1    ,2020-02-13,2020-02-13,,2021-02-12,1000000.0,0.0,1000000.0,335000.0,TND,25,200,0,20,120,120.0,,,10500.0
127,V    ,02/2020,,1    ,2020-02-11,2020-02-11,,2021-02-10,12000000.0,0.0,12000000.0,7500000.0,TND,10,10,0,10,120,120.0,,,50400.0
128,V    ,03/2020,,1    ,2020-02-14,2020-02-14,,2021-02-13,3000000.0,0.0,3000000.0,1000000.0,TND,15,20,0,20,120,120.0,,,26250.0
1128,V    ,040/2020,,1    ,2020-06-08,2020-06-08,,2021-06-08,800000.0,0.0,800000.0,200000.0,TND,20,20,0,0,90,90.0,,,5600.0
1129,V    ,05/2020,,1    ,2020-06-10,2020-06-10,,2021-06-10,750000.0,0.0,750000.0,250000.0,TND,10,20,0,20,120,120.0,,,5600.0
1130,V    ,07/2020,,1    ,2020-06-16,2020-06-16,,2021-06-16,600000.0,0.0,600000.0,300000.0,TND,15,100,0,10,120,180.0,,,6300.0
1131,V    ,062020,,1    ,2020-06-09,2020-06-09,,2021-06-09,800000.0,0.0,800000.0,200000.0,TND,10,20,0,20,120,120.0,,,5600.0
2127,V    ,09/2020,,1    ,2020-06-26,2020-06-26,,2021-06-26,5000000.0,0.0,5000000.0,1650000.0,TND,10,100,0,50,120,120.0,,,52500.0
2128,V    ,10/2020,,1    ,2020-07-15,2020-07-15,,2021-07-15,500000.0,0.0,500000.0,350000.0,TND,10,10,0,10,0,120.0,,,3500.0
2129,V    ,11/2020,,1    ,2020-07-23,2020-07-24,,2021-07-24,1200000.0,0.0,1200000.0,400000.0,TND,5,100,50,100,120,120.0,,,3500.0
2130,V    ,08/2020,,1    ,2020-07-28,2020-07-28,,2021-07-28,600000.0,0.0,600000.0,200000.0,TND,5,100,10,50,120,120.0,,,4200.0
2131,V    ,12/2020,,1    ,2020-07-29,2020-08-03,,2021-08-03,150000.0,0.0,150000.0,50000.0,TND,10,10,0,10,120,120.0,,,1340.0
3127,V    ,082021,,1    ,2021-08-31,2021-08-31,2021-08-31,2022-08-31,2547126.0,2000000.0,547126.0,0.0,TND,1,1,1,20,30,20.0,,,0.0
3128,A    ,1526,,1    ,2021-09-02,2021-09-02,,2022-09-02,100000.0,0.0,100000.0,1000.0,TND,1,2,3,3,20,,,,0.0
3129,V    ,FR525,,1    ,2022-10-01,2022-10-11,,2023-10-11,500000.0,0.0,500000.0,500000.0,TND,30,250,30,125,60,90.0,,,500.0
3130,V    ,KL455,,1    ,2022-10-16,2022-10-16,,2023-10-16,1.0,0.0,1.0,1.0,TND,1,1,1,1,1,1.0,,,1.0
3131,V    ,5,,1    ,2022-01-01,2022-01-01,,2023-01-01,5.0,0.0,5.0,5.0,TND,5,5,5,5,5,5.0,,,5.0
3132,A    ,555,,1    ,2022-10-28,2022-10-28,,2023-10-28,1.0,0.0,1.0,1.0,TND,1,1,1,1,1,1.0,,,1.0
3133,V    ,C_526325,,1    ,2022-12-26,2023-01-30,,2024-01-30,600000.0,0.0,600000.0,400000.0,TND,10,300,60,140,90,90.0,,,500.0
3134,A    ,1,,1    ,2023-02-24,2023-02-24,,2024-02-24,1.0,0.0,1.0,1.0,TND,1,1,1,1,1,1.0,,,1.0
3135,V    ,2023-01,,1    ,2023-06-11,2023-06-11,,2024-06-10,1000000.0,0.0,1000000.0,200000.0,TND,30,200,20,100,90,180.0,,,20000.0
