NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
04,68,2017,456,,2017-05-16,17,102544.6,,,True,2017-05-16,
04,70,2017,473,,2017-12-09,2,52667.066,,,True,2017-12-09,
04,71,2017,484,,2017-07-12,2,167338.191,,,True,2017-07-12,
04,73,2017,511,,2017-08-15,2,17997.89,,,True,2017-08-15,
04,83,2018,567,,2018-03-29,1,76402.226,,,True,2018-03-29,
04,85,2018,571,,2018-04-04,1,22607.739,,,True,2018-04-04,
04,86,2018,585,,2018-06-02,1,15392.733,,,True,2018-06-02,
04,94,2018,685,,2018-09-21,1,12580.277,,,True,2018-09-21,
04,95,2018,686,,2018-07-27,2,8516.11,,,True,2018-07-27,
04,98,2019,824,,2019-04-10,8,2287.113,,,True,2019-04-10,
04,100,2019,842,,2019-01-22,1,109372.9,,,True,2019-01-22,
04,101,2019,539,,2019-04-11,2,60000.0,,,True,2019-04-11,
04,102,2019,873,,2019-02-19,1,800000.0,,,True,2019-02-19,
04,103,2019,881,,2019-03-12,1,27411.952,,,True,2019-03-12,
04,109,2020,988,,2020-02-18,1,140571.85,,,True,2020-02-18,
04,112,2020,997,,2020-03-03,1,112736.97,,,True,2020-03-03,
04,113,2019,999,,2019-07-23,1,3857.415,,,True,2019-07-23,
04,120,2019,1030,,2019-09-04,3,11571.308,,,True,2019-09-04,
04,121,2019,1031,,2019-09-04,1,2168.9,,,True,2019-09-04,
04,122,2019,1045,,2019-10-25,1,49092.783,,,True,2019-10-25,
04,123,2019,1057,,2019-11-12,18,9427.473,,,True,2019-11-12,
04,125,2020,1097,,2020-01-21,7,199810.632,,,True,2020-01-21,
04,126,2020,1136,,2020-07-21,6,19154.843,,,True,2020-07-21,
04,128,2020,1159,,2020-06-08,1,15532.179,,,True,2020-06-08,
043,73,2019,511,,2019-12-05,1,1833.2,,,True,2019-12-05,
05,37,2017,171,,2017-12-28,3,1310572.9,,,True,2017-12-28,
05,40,2017,183,,2017-03-22,1,150000.0,,,True,2017-03-23,
05,47,2017,200,,2017-12-25,1,120000.0,,,True,2017-12-25,
05,49,2016,203,,2016-05-17,2,86074.668,,,True,2016-05-20,
05,50,2016,204,,2016-03-28,1,70237.5,,,True,2016-03-29,
05,52,2016,215,,2016-05-27,2,172531.6,,,True,2016-05-30,
05,53,2016,227,,2016-04-12,8,16165.584,,,True,2016-04-18,
05,55,2016,249,,2016-07-28,8,11707.518,,,True,2016-07-29,
05,56,2016,252,,2016-12-02,1,14359.1,,,True,2016-12-02,
05,57,2017,309,,2017-05-06,41,319947.403,,,True,2017-05-06,
05,58,2017,318,,2016-01-03,7,11290.997,,,True,2017-01-03,
05,60,2017,338,,2017-06-02,4,20657.517,,,True,2017-06-02,
05,61,2017,378,,2017-02-27,4,27626.026,,,True,2017-02-27,
05,63,2018,211,,2018-07-20,2,50541.2,,,True,2018-07-20,
05,64,2017,442,,2017-02-27,11,8921.693,,,True,2017-02-27,
05,66,2017,447,,2017-05-12,2,8384.844,,,True,2017-05-12,
05,67,2017,448,,2017-07-05,1,76259.7,,,True,2017-07-05,
05,68,2017,456,,2017-07-06,20,85304.53,,,True,2017-07-06,
05,70,2017,473,,2017-12-28,1,82795.797,,,True,2017-12-28,
05,71,2017,484,,2017-08-07,2,230434.261,,,True,2017-08-07,
05,73,2017,511,,2017-08-16,5,19136.2,,,True,2017-08-16,
05,83,2018,567,,2018-05-02,1,61015.89,,,True,2018-05-02,
05,84,2018,572,,2018-09-21,1,202360.1,,,True,2018-09-21,
05,86,2018,585,,2018-06-04,1,71229.221,,,True,2018-06-04,
05,94,2018,685,,2018-10-12,1,5000.015,,,True,2018-10-12,
05,95,2018,686,,2018-08-03,4,7642.738,,,True,2018-08-03,
05,98,2019,824,,2019-04-10,10,7878.428,,,True,2019-04-10,
05,100,2019,842,,2019-04-05,1,18934.456,,,True,2019-04-05,
05,101,2019,539,,2019-06-21,1,50000.0,,,True,2019-06-21,
05,102,2019,873,,2019-04-12,1,75692.186,,,True,2019-04-12,
05,103,2019,881,,2019-05-17,1,5578.492,,,True,2019-05-17,
05,109,2020,988,,2020-06-15,1,93516.15,,,True,2020-06-15,
05,112,2020,997,,2020-03-26,1,70000.0,,,True,2020-03-26,
05,113,2019,999,,2019-11-11,4,10502.364,,,True,2019-11-11,
05,120,2019,1030,,2019-09-10,1,9955.581,,,True,2019-09-10,
05,121,2019,1031,,2019-09-09,14,30988.114,,,True,2019-09-09,
05,122,2019,1045,,2019-11-22,1,75649.921,,,True,2019-11-22,
05,123,2019,1057,,2019-11-21,19,10196.097,,,True,2019-11-21,
05,125,2020,1097,,2020-01-22,5,320883.679,,,True,2020-01-22,
05,126,2020,1136,,2020-07-29,7,40261.526,,,True,2020-07-29,
05,128,2020,1159,,2020-06-30,2,16102.345,,,True,2020-06-30,
06,27,2017,7,,2017-12-29,1,288666.635,,,True,2017-12-29,
06,36,2014,163,,2014-11-18,1,9563.562,,,True,2014-11-25,
06,46,2015,193,,2015-12-07,1,102413.842,,,True,2015-12-11,
06,47,2018,200,,2018-05-10,2,34263.1,,,True,2018-05-10,
06,48,2015,202,,2015-12-03,1,12250.08,,,True,2015-12-04,
06,50,2016,204,,2016-03-31,1,21875.0,,,True,2016-04-02,
06,52,2016,215,,2016-04-27,2,140209.5,,,True,2016-04-27,
06,53,2016,227,,2016-04-20,8,34372.63,,,True,2016-04-27,
06,54,2017,246,,2017-05-08,1,45052.9,,,True,2017-05-26,
