ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11746,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02072018,788
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11747,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02102018,789
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11745,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV02082018,790
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11744,cyrine,10.2.115.20,10.2.115.20,66,447,Numérisation_des_documentsAV00792017,791
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11620,cyrine,10.2.115.20,10.2.115.20,108,981,Numérisation_des_documents202036,792
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11619,cyrine,10.2.115.20,10.2.115.20,123,1057,Numérisation_des_documents202035,793
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11618,cyrine,10.2.115.20,10.2.115.20,121,1031,Numérisation_des_documents202034,794
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11617,cyrine,10.2.115.20,10.2.115.20,64,442,Numérisation_des_documents202033,795
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11614,cyrine,10.2.115.20,10.2.115.20,49,203,Numérisation_des_documents202032,796
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11613,cyrine,10.2.115.20,10.2.115.20,50,204,Numérisation_des_documents202031,797
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11612,cyrine,10.2.115.20,10.2.115.20,41,8,Numérisation_des_documents202030,798
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11611,cyrine,10.2.115.20,10.2.115.20,42,9,Numérisation_des_documents202029,799
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11707,cyrine,10.2.115.20,10.2.115.20,86,585,Numérisation_des_documents202051,800
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11706,cyrine,10.2.115.20,10.2.115.20,125,1097,Numérisation_des_documents202050,801
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11702,cyrine,10.2.115.20,10.2.115.20,112,997,Numérisation_des_documents202048,802
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11685,cyrine,10.2.115.20,10.2.115.20,50,204,Numérisation_des_documents202047,803
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11705,cyrine,10.2.115.20,10.2.115.20,125,1097,Numérisation_des_documents202049,804
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11682,cyrine,10.2.115.20,10.2.115.20,95,686,Numérisation_des_documents202046,805
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,10102,cyrine,10.2.115.20,10.2.115.20,48,202,Numérisation_des_documents0276,806
0,2020-01-24,AnuulerTache,T_DOC_H_GED,10086,cyrine,10.2.115.20,10.2.115.20,86,585,AnuulerTache008664461853,807
0,2020-01-24,Réconsiliation,TJ_LETTRAGE,12416,azzouz,10.2.115.10,10.2.115.10,48,37,Réconsiliation 48,808
0,2020-01-24,Réconsiliation,TJ_LETTRAGE,10826,azzouz,10.2.115.10,10.2.115.10,50,350,Réconsiliation 50,809
0,2020-01-24,Réconsiliation,TJ_LETTRAGE,11039,azzouz,10.2.115.10,10.2.115.10,42,32,Réconsiliation 42,810
0,2020-01-24,Réconsiliation,TJ_LETTRAGE,11567,azzouz,10.2.115.10,10.2.115.10,50,316,Réconsiliation 50,811
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11876,cyrine,10.2.115.20,10.2.115.20,50,204,Numérisation_des_documents202059,812
0,2020-01-24,Numérisation_des_documents,T_DOC_GED,11875,cyrine,10.2.115.20,10.2.115.20,50,204,Numérisation_des_documents202058,813
0,2020-01-27,Réconsiliation,TJ_LETTRAGE,12136,azzouz,10.2.115.10,10.2.115.10,57,1077,Réconsiliation 57,814
0,2020-01-27,Réconsiliation,TJ_LETTRAGE,12299,azzouz,10.2.115.10,10.2.115.10,57,1086,Réconsiliation 57,815
0,2020-01-27,Réconsiliation,TJ_LETTRAGE,11741,azzouz,10.2.115.10,10.2.115.10,57,1060,Réconsiliation 57,816
0,2020-01-27,Creation Encaissement,T_ENCAISSEMENT,12417,cyrine,10.2.115.20,10.2.115.20,48,40,Creation Encaissement 008599644513,817
