ID_DET_BORD,REF_CTR_DET_BORD,ANNEE_BORD,NUM_BORD,TYP_DET_BORD,NUM_CREANCE_ASS_BORD,TYP_ASS_DET_BORD,DAT_DET_BORD,MONT_TTC_DET_BORD,DEVISE_DET_BORD,ECH_DET_BORD,ECH_APR_PROROG_DET_BORD,MONT_OUV_DET_BORD,DELAI_PAIE_DET_BORD,MODE_REG_DET_BORD,TYP_REG_DET_BORD,TX_FDG_DET_BORD,TX_COMM_FACT_DET_BORD,ANNUL_DET_BORD,VALIDE_DET_BORD,REF_IND_DET_BORD,MONT_FDG_DET_BORD,MONT_FDG_LIBERE_DET_BORD,MONT_COMM_FACT_DET_BORD,TX_TVA_COMM_FACT_DET_BORD,MONT_TVA_COMM_FACT_DET_BORD,MONT_TTC_COMM_FACT_DET_BORD,ID_CALC_DISPO_DET_BORD,REF_DET_BORD,COMM_DET_BORD,RETENU_DET_BORD
30228,98,2019,12,fact ,30228,,2019-08-07,3779.481,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,152,0.0,566.922,37.794,0.19,7.181,44.975,,,,66.331
30229,98,2019,12,fact ,30229,,2019-08-07,7570.264,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,1135.539,75.702,0.19,14.383,90.086,,,,145.348
30230,98,2019,12,fact ,30230,,2019-08-07,2372.962,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,10,0.0,355.944,23.729,0.19,4.508,28.238,,,,44.805
30231,98,2019,12,fact ,30231,,2019-08-07,2650.323,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,443,0.0,397.548,26.503,0.19,5.035,31.538,,,,39.754
30232,98,2019,12,fact ,30232,,2019-08-07,668.376,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,100.256,6.683,0.19,1.269,7.953,,,,0.0
30233,98,2019,12,fact ,30233,,2019-08-07,484.673,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,72.7,4.846,0.19,0.92,5.767,,,,0.0
30234,98,2019,12,fact ,30234,,2019-08-07,1323.317,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,344,0.0,198.497,13.233,0.19,2.514,15.747,,,,19.849
30235,98,2019,12,fact ,30235,,2019-08-07,125.001,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,250,0.0,18.75,1.25,0.19,0.237,1.487,,,,0.0
30236,98,2019,12,fact ,30236,,2019-08-07,258.709,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,10,0.0,38.806,2.587,0.19,0.491,3.078,,,,0.0
30237,98,2019,12,fact ,30237,,2019-08-07,568.198,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,85.229,5.681,0.19,1.079,6.761,,,,0.0
30238,98,2019,12,fact ,30238,,2019-08-07,521.855,TND,173.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,78.278,5.218,0.19,0.991,6.21,,,,
30239,98,2019,12,fact ,30239,,2019-08-07,614.119,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,10,0.0,92.117,6.141,0.19,1.166,7.308,,,,0.0
30240,98,2019,12,fact ,30240,,2019-08-07,97.972,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,14.695,0.979,0.19,0.186,1.165,,,,0.0
30241,98,2019,12,fact ,30241,,2019-08-07,433.34,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,65.001,4.333,0.19,0.823,5.156,,,,
30242,98,2019,12,fact ,30242,,2019-08-07,1720.916,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,258.137,17.209,0.19,3.269,20.478,,,,
30243,98,2019,12,fact ,30243,,2019-08-07,1356.342,TND,209.0,,0.0,,T    ,,15.0,0.01,False,True,152,0.0,406.902,13.563,0.19,2.577,16.14,,,,20.345
30244,98,2019,12,fact ,30244,,2019-08-07,1067.472,TND,120.0,,1067.472,,T    ,,15.0,0.01,False,True,10,160.121,160.12,10.674,0.19,2.028,12.702,,,,
30245,98,2019,12,fact ,30245,,2019-08-07,642.6,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,152,0.0,96.39,6.426,0.19,1.22,7.646,,,,0.0
30246,98,2019,12,fact ,30246,,2019-08-07,300.6,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,12,0.0,45.09,3.006,0.19,0.571,3.577,,,,0.0
30247,48,2019,245,fact ,30247,,2019-08-21,8997.0,TND,142.0,,0.0,,T    ,,0.0,0.005,False,True,59,0.0,0.0,44.985,0.19,8.547,53.532,,,,0.0
30248,68,2019,33,fact ,30248,,2019-08-19,1607.1,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,457,0.0,241.065,16.071,0.19,3.053,19.124,,,,24.097
30249,68,2019,33,fact ,30249,,2019-08-19,10353.6,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,990,0.0,1553.04,103.536,0.19,19.671,123.207,,,,
30250,68,2019,33,fact ,30250,,2019-08-19,6640.8,TND,120.0,,0.0,,T    ,,15.0,0.01,False,True,457,0.0,996.12,66.408,0.19,12.617,79.025,,,,99.603
30251,68,2019,33,fact ,30251,,2019-08-19,9383.75,TND,139.0,,0.0,,T    ,,15.0,0.01,False,True,458,0.0,1407.563,93.837,0.19,17.829,111.666,,,,0.0
30252,68,2019,33,fact ,30252,,2019-08-16,18755.0,TND,142.0,,0.0,,T    ,,15.0,0.01,False,True,458,0.0,2749.941,187.55,0.19,35.634,223.184,,,,422.063
